0: Episodio: 1 | Posição: (0, 0) | Ação: ↓ | Nova Posição: (0, 0)
1: Episodio: 1 | Posição: (0, 0) | Ação: → | Nova Posição: (1, 0)
2: Episodio: 1 | Posição: (1, 0) | Ação: ↑ | Nova Posição: (1, 1)
3: Episodio: 1 | Posição: (1, 1) | Ação: ↓ | Nova Posição: (1, 0)
4: Episodio: 1 | Posição: (1, 0) | Ação: ↓ | Nova Posição: (1, 0)
5: Episodio: 1 | Posição: (1, 0) | Ação: → | Nova Posição: (2, 0)
6: Episodio: 1 | Posição: (2, 0) | Ação: ← | Nova Posição: (1, 0)
7: Episodio: 1 | Posição: (1, 0) | Ação: ← | Nova Posição: (0, 0)
8: Episodio: 1 | Posição: (0, 0) | Ação: ↑ | Nova Posição: (0, 1)
9: Episodio: 1 | Posição: (0, 1) | Ação: ↓ | Nova Posição: (0, 0)
10: Episodio: 1 | Posição: (0, 0) | Ação: ← | Nova Posição: (0, 0)
11: Episodio: 1 | Posição: (0, 0) | Ação: ↑ | Nova Posição: (0, 1)
12: Episodio: 1 | Posição: (0, 1) | Ação: → | Nova Posição: (1, 1)
13: Episodio: 1 | Posição: (1, 1) | Ação: → | Nova Posição: (2, 1)
14: Episodio: 1 | Posição: (2, 1) | Ação: ← | Nova Posição: (1, 1)
15: Episodio: 1 | Posição: (1, 1) | Ação: ← | Nova Posição: (0, 1)
16: Episodio: 1 | Posição: (0, 1) | Ação: ↑ | Nova Posição: (0, 2)
17: Episodio: 1 | Posição: (0, 2) | Ação: → | Nova Posição: (1, 2)
18: Episodio: 1 | Posição: (1, 2) | Ação: → | Nova Posição: (2, 2)
19: Episodio: 1 | Posição: (2, 2) | Ação: ← | Nova Posição: (1, 2)
20: Episodio: 1 | Posição: (1, 2) | Ação: ↓ | Nova Posição: (1, 1)
21: Episodio: 1 | Posição: (1, 1) | Ação: ↑ | Nova Posição: (1, 2)
22: Episodio: 1 | Posição: (1, 2) | Ação: ↑ | Nova Posição: (1, 3)
23: Episodio: 1 | Posição: (1, 3) | Ação: → | Nova Posição: (2, 3)
24: Episodio: 1 | Posição: (2, 3) | Ação: ← | Nova Posição: (1, 3)
25: Episodio: 1 | Posição: (1, 3) | Ação: ↓ | Nova Posição: (1, 2)
26: Episodio: 1 | Posição: (1, 2) | Ação: ← | Nova Posição: (0, 2)
27: Episodio: 1 | Posição: (0, 2) | Ação: ↓ | Nova Posição: (0, 1)
28: Episodio: 1 | Posição: (0, 1) | Ação: ← | Nova Posição: (0, 1)
29: Episodio: 1 | Posição: (0, 1) | Ação: ↓ | Nova Posição: (0, 0)
30: Episodio: 1 | Posição: (0, 0) | Ação: → | Nova Posição: (1, 0)
31: Episodio: 1 | Posição: (1, 0) | Ação: ↑ | Nova Posição: (1, 1)
32: Episodio: 1 | Posição: (1, 1) | Ação: ← | Nova Posição: (0, 1)
33: Episodio: 1 | Posição: (0, 1) | Ação: ↑ | Nova Posição: (0, 2)
34: Episodio: 1 | Posição: (0, 2) | Ação: ↑ | Nova Posição: (0, 3)
35: Episodio: 1 | Posição: (0, 3) | Ação: ↓ | Nova Posição: (0, 2)
36: Episodio: 1 | Posição: (0, 2) | Ação: ← | Nova Posição: (0, 2)
37: Episodio: 1 | Posição: (0, 2) | Ação: ← | Nova Posição: (0, 2)
38: Episodio: 1 | Posição: (0, 2) | Ação: ↓ | Nova Posição: (0, 1)
39: Episodio: 1 | Posição: (0, 1) | Ação: → | Nova Posição: (1, 1)
40: Episodio: 1 | Posição: (1, 1) | Ação: ↑ | Nova Posição: (1, 2)
41: Episodio: 1 | Posição: (1, 2) | Ação: ↑ | Nova Posição: (1, 3)
42: Episodio: 1 | Posição: (1, 3) | Ação: ↑ | Nova Posição: (1, 4)
43: Episodio: 1 | Posição: (1, 4) | Ação: ← | Nova Posição: (0, 4)
44: Episodio: 1 | Posição: (0, 4) | Ação: ↑ | Nova Posição: (0, 5)
45: Episodio: 1 | Posição: (0, 5) | Ação: ← | Nova Posição: (0, 5)
46: Episodio: 1 | Posição: (0, 5) | Ação: → | Nova Posição: (1, 5)
47: Episodio: 1 | Posição: (1, 5) | Ação: ← | Nova Posição: (0, 5)
48: Episodio: 1 | Posição: (0, 5) | Ação: ↓ | Nova Posição: (0, 4)
49: Episodio: 1 | Posição: (0, 4) | Ação: → | Nova Posição: (1, 4)
50: Episodio: 1 | Posição: (1, 4) | Ação: ↑ | Nova Posição: (1, 5)
51: Episodio: 1 | Posição: (1, 5) | Ação: ↑ | Nova Posição: (1, 5)
52: Episodio: 1 | Posição: (1, 5) | Ação: ↓ | Nova Posição: (1, 4)
53: Episodio: 1 | Posição: (1, 4) | Ação: → | Nova Posição: (2, 4)
54: Episodio: 1 | Posição: (2, 4) | Ação: ← | Nova Posição: (1, 4)
55: Episodio: 1 | Posição: (1, 4) | Ação: ↓ | Nova Posição: (1, 3)
56: Episodio: 1 | Posição: (1, 3) | Ação: → | Nova Posição: (2, 3)
57: Episodio: 1 | Posição: (2, 3) | Ação: ↓ | Nova Posição: (2, 2)
58: Episodio: 1 | Posição: (2, 2) | Ação: ↓ | Nova Posição: (2, 1)
59: Episodio: 1 | Posição: (2, 1) | Ação: → | Nova Posição: (3, 1)
60: Episodio: 1 | Posição: (3, 1) | Ação: ← | Nova Posição: (2, 1)
61: Episodio: 1 | Posição: (2, 1) | Ação: ↓ | Nova Posição: (2, 0)
62: Episodio: 1 | Posição: (2, 0) | Ação: ↓ | Nova Posição: (2, 0)
63: Episodio: 1 | Posição: (2, 0) | Ação: ↑ | Nova Posição: (2, 1)
64: Episodio: 1 | Posição: (2, 1) | Ação: ↑ | Nova Posição: (2, 2)
65: Episodio: 1 | Posição: (2, 2) | Ação: → | Nova Posição: (3, 2)
66: Episodio: 1 | Posição: (3, 2) | Ação: ↓ | Nova Posição: (3, 1)
67: Episodio: 1 | Posição: (3, 1) | Ação: → | Nova Posição: (4, 1)
68: Episodio: 1 | Posição: (4, 1) | Ação: ← | Nova Posição: (3, 1)
69: Episodio: 1 | Posição: (3, 1) | Ação: ↓ | Nova Posição: (3, 0)
70: Episodio: 1 | Posição: (3, 0) | Ação: ↑ | Nova Posição: (3, 1)
71: Episodio: 1 | Posição: (3, 1) | Ação: ↑ | Nova Posição: (3, 2)
72: Episodio: 1 | Posição: (3, 2) | Ação: → | Nova Posição: (4, 2)
73: Episodio: 1 | Posição: (4, 2) | Ação: ↓ | Nova Posição: (4, 1)
74: Episodio: 1 | Posição: (4, 1) | Ação: ← | Nova Posição: (3, 1)
75: Episodio: 1 | Posição: (3, 1) | Ação: → | Nova Posição: (4, 1)
76: Episodio: 1 | Posição: (4, 1) | Ação: ↑ | Nova Posição: (4, 2)
77: Episodio: 1 | Posição: (4, 2) | Ação: ↑ | Nova Posição: (4, 3)
78: Episodio: 1 | Posição: (4, 3) | Ação: → | Nova Posição: (5, 3)
79: Episodio: 1 | Posição: (5, 3) | Ação: ← | Nova Posição: (4, 3)
80: Episodio: 1 | Posição: (4, 3) | Ação: ↑ | Nova Posição: (4, 3)
81: Episodio: 1 | Posição: (4, 3) | Ação: ← | Nova Posição: (3, 3)
82: Episodio: 1 | Posição: (3, 3) | Ação: ↑ | Nova Posição: (3, 3)
83: Episodio: 1 | Posição: (3, 3) | Ação: ← | Nova Posição: (2, 3)
84: Episodio: 1 | Posição: (2, 3) | Ação: → | Nova Posição: (3, 3)
85: Episodio: 1 | Posição: (3, 3) | Ação: → | Nova Posição: (4, 3)
86: Episodio: 1 | Posição: (4, 3) | Ação: ↓ | Nova Posição: (4, 2)
87: Episodio: 1 | Posição: (4, 2) | Ação: ← | Nova Posição: (3, 2)
88: Episodio: 1 | Posição: (3, 2) | Ação: ← | Nova Posição: (2, 2)
89: Episodio: 1 | Posição: (2, 2) | Ação: ↑ | Nova Posição: (2, 3)
90: Episodio: 1 | Posição: (2, 3) | Ação: ↑ | Nova Posição: (2, 4)
91: Episodio: 1 | Posição: (2, 4) | Ação: ↑ | Nova Posição: (2, 5)
92: Episodio: 1 | Posição: (2, 5) | Ação: ← | Nova Posição: (1, 5)
93: Episodio: 1 | Posição: (1, 5) | Ação: → | Nova Posição: (2, 5)
94: Episodio: 1 | Posição: (2, 5) | Ação: ↑ | Nova Posição: (2, 5)
95: Episodio: 1 | Posição: (2, 5) | Ação: ↓ | Nova Posição: (2, 4)
96: Episodio: 1 | Posição: (2, 4) | Ação: → | Nova Posição: (2, 4)
97: Episodio: 1 | Posição: (2, 4) | Ação: ↓ | Nova Posição: (2, 3)
98: Episodio: 1 | Posição: (2, 3) | Ação: ← | Nova Posição: (1, 3)
99: Episodio: 1 | Posição: (1, 3) | Ação: ← | Nova Posição: (0, 3)
100: Episodio: 1 | Posição: (0, 3) | Ação: ← | Nova Posição: (0, 3)
101: Episodio: 1 | Posição: (0, 3) | Ação: ↑ | Nova Posição: (0, 4)
102: Episodio: 1 | Posição: (0, 4) | Ação: ← | Nova Posição: (0, 4)
103: Episodio: 1 | Posição: (0, 4) | Ação: ↓ | Nova Posição: (0, 3)
104: Episodio: 1 | Posição: (0, 3) | Ação: → | Nova Posição: (1, 3)
105: Episodio: 1 | Posição: (1, 3) | Ação: ↑ | Nova Posição: (1, 4)
106: Episodio: 1 | Posição: (1, 4) | Ação: ↓ | Nova Posição: (1, 3)
107: Episodio: 1 | Posição: (1, 3) | Ação: ↓ | Nova Posição: (1, 2)
108: Episodio: 1 | Posição: (1, 2) | Ação: ↓ | Nova Posição: (1, 1)
109: Episodio: 1 | Posição: (1, 1) | Ação: ↓ | Nova Posição: (1, 0)
110: Episodio: 1 | Posição: (1, 0) | Ação: → | Nova Posição: (2, 0)
111: Episodio: 1 | Posição: (2, 0) | Ação: → | Nova Posição: (3, 0)
112: Episodio: 1 | Posição: (3, 0) | Ação: → | Nova Posição: (4, 0)
113: Episodio: 1 | Posição: (4, 0) | Ação: ← | Nova Posição: (3, 0)
114: Episodio: 1 | Posição: (3, 0) | Ação: ↓ | Nova Posição: (3, 0)
115: Episodio: 1 | Posição: (3, 0) | Ação: ← | Nova Posição: (2, 0)
116: Episodio: 1 | Posição: (2, 0) | Ação: ← | Nova Posição: (1, 0)
117: Episodio: 1 | Posição: (1, 0) | Ação: ← | Nova Posição: (0, 0)
118: Episodio: 1 | Posição: (0, 0) | Ação: ↑ | Nova Posição: (0, 1)
119: Episodio: 1 | Posição: (0, 1) | Ação: ↑ | Nova Posição: (0, 2)
120: Episodio: 1 | Posição: (0, 2) | Ação: ↑ | Nova Posição: (0, 3)
121: Episodio: 1 | Posição: (0, 3) | Ação: ↑ | Nova Posição: (0, 4)
122: Episodio: 1 | Posição: (0, 4) | Ação: → | Nova Posição: (1, 4)
123: Episodio: 1 | Posição: (1, 4) | Ação: ↑ | Nova Posição: (1, 5)
124: Episodio: 1 | Posição: (1, 5) | Ação: ↓ | Nova Posição: (1, 4)
125: Episodio: 1 | Posição: (1, 4) | Ação: ← | Nova Posição: (0, 4)
126: Episodio: 1 | Posição: (0, 4) | Ação: ↓ | Nova Posição: (0, 3)
127: Episodio: 1 | Posição: (0, 3) | Ação: ↓ | Nova Posição: (0, 2)
128: Episodio: 1 | Posição: (0, 2) | Ação: → | Nova Posição: (1, 2)
129: Episodio: 1 | Posição: (1, 2) | Ação: ← | Nova Posição: (0, 2)
130: Episodio: 1 | Posição: (0, 2) | Ação: ↑ | Nova Posição: (0, 3)
131: Episodio: 1 | Posição: (0, 3) | Ação: → | Nova Posição: (1, 3)
132: Episodio: 1 | Posição: (1, 3) | Ação: ← | Nova Posição: (0, 3)
133: Episodio: 1 | Posição: (0, 3) | Ação: ↓ | Nova Posição: (0, 2)
134: Episodio: 1 | Posição: (0, 2) | Ação: ↓ | Nova Posição: (0, 1)
135: Episodio: 1 | Posição: (0, 1) | Ação: ↓ | Nova Posição: (0, 0)
136: Episodio: 1 | Posição: (0, 0) | Ação: → | Nova Posição: (1, 0)
137: Episodio: 1 | Posição: (1, 0) | Ação: → | Nova Posição: (2, 0)
138: Episodio: 1 | Posição: (2, 0) | Ação: ↑ | Nova Posição: (2, 1)
139: Episodio: 1 | Posição: (2, 1) | Ação: ↑ | Nova Posição: (2, 2)
140: Episodio: 1 | Posição: (2, 2) | Ação: ↑ | Nova Posição: (2, 3)
141: Episodio: 1 | Posição: (2, 3) | Ação: ↓ | Nova Posição: (2, 2)
142: Episodio: 1 | Posição: (2, 2) | Ação: ↓ | Nova Posição: (2, 1)
143: Episodio: 1 | Posição: (2, 1) | Ação: → | Nova Posição: (3, 1)
144: Episodio: 1 | Posição: (3, 1) | Ação: ↓ | Nova Posição: (3, 0)
145: Episodio: 1 | Posição: (3, 0) | Ação: → | Nova Posição: (4, 0)
146: Episodio: 1 | Posição: (4, 0) | Ação: ↑ | Nova Posição: (4, 1)
147: Episodio: 1 | Posição: (4, 1) | Ação: → | Nova Posição: (5, 1)
148: Episodio: 1 | Posição: (5, 1) | Ação: → | Nova Posição: (5, 1)
149: Episodio: 1 | Posição: (5, 1) | Ação: ↑ | Nova Posição: (5, 2)
150: Episodio: 1 | Posição: (5, 2) | Ação: → | Nova Posição: (5, 2)
151: Episodio: 1 | Posição: (5, 2) | Ação: ← | Nova Posição: (4, 2)
152: Episodio: 1 | Posição: (4, 2) | Ação: → | Nova Posição: (5, 2)
153: Episodio: 1 | Posição: (5, 2) | Ação: ↑ | Nova Posição: (5, 3)
154: Episodio: 1 | Posição: (5, 3) | Ação: ↓ | Nova Posição: (5, 2)
155: Episodio: 1 | Posição: (5, 2) | Ação: ↓ | Nova Posição: (5, 1)
156: Episodio: 1 | Posição: (5, 1) | Ação: ← | Nova Posição: (4, 1)
157: Episodio: 1 | Posição: (4, 1) | Ação: ↓ | Nova Posição: (4, 0)
158: Episodio: 1 | Posição: (4, 0) | Ação: ↓ | Nova Posição: (4, 0)
159: Episodio: 1 | Posição: (4, 0) | Ação: ← | Nova Posição: (3, 0)
160: Episodio: 1 | Posição: (3, 0) | Ação: ↑ | Nova Posição: (3, 1)
161: Episodio: 1 | Posição: (3, 1) | Ação: ↑ | Nova Posição: (3, 2)
162: Episodio: 1 | Posição: (3, 2) | Ação: ↑ | Nova Posição: (3, 3)
163: Episodio: 1 | Posição: (3, 3) | Ação: ↓ | Nova Posição: (3, 2)
